Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,,01/07/2022,04/04/1972
2,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,,30/06/2019,01/10/1984
3,HEO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2021,28/10/1991
4,SEO+,Durham,Human Resources,1233,HR Operations,Employee,Permanent,,0.459,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,11/10/1971
5,AA,Plymouth,Operations,725,Land Charges,Employee,Permanent,,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2021,05/11/1973
6,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,16/10/1972
7,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2021,01/01/1973
8,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.6,Payroll,Retirement,Retirement (Age) Above Min Age,28/06/2019,01/12/1976
9,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/10/2018,04/12/1972
10,SEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2018,10/09/1973
11,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) At Min Age,29/03/2022,17/09/1973
12,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Death,Death in Service,09/09/2018,21/08/1973
13,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) At Min Age,30/05/2019,06/10/1975
14,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Retirement (Age) At Min Age,05/05/2018,09/09/1974
15,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) At Min Age,27/03/2020,28/10/1974
16,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,,27/12/2019,10/03/1975
17,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Resignation,Resignation,27/11/2019,02/10/1989
18,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2022,16/06/1975
19,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,12/06/2018,04/08/1975
20,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.45,Payroll,Retirement,Retirement (Age) Above Min Age,15/11/2019,04/11/1974
21,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2023,08/09/1975
22,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.53,Payroll,Retirement,Approved Early Retirement(AER),30/04/2020,22/09/1975
23,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,26/09/1988
24,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2022,13/10/1975
25,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,,31/12/2019,27/10/1975
26,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,03/07/2019,11/01/1988
27,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/12/2022,02/02/1976
28,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,28/01/1985
29,SEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Resignation,Resignation,31/08/2020,01/03/1976
