Person Number,Element Name,Effective Start Date,Effective End Date,Input Value Name,Pension opt out date
696,Alpha Pension Scheme,01/06/2019,30/04/2021,Enrolment Date,
1256,Classic Civil Servant Pension,04/12/1972,31/01/2022,Enrolment Date,
1257,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
1742,Classic Civil Servant Pension,26/03/1973,31/03/2021,Enrolment Date,
1745,Classic Civil Servant Pension,04/06/1973,31/10/2021,Enrolment Date,
1750,Classic Civil Servant Pension,18/06/1973,30/06/2021,Enrolment Date,
1753,Classic Civil Servant Pension,09/07/1973,31/01/2021,Enrolment Date,
1754,Classic Civil Servant Pension,23/07/1973,31/03/2022,Enrolment Date,
1755,Classic Civil Servant Pension,23/07/1973,31/05/2020,Enrolment Date,
5,Classic Civil Servant Pension,05/11/1973,30/09/2021,Enrolment Date,
20,Classic Civil Servant Pension,04/11/1974,30/11/2019,Enrolment Date,
34,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
39,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
622,Classic Civil Servant Pension,02/12/1985,31/10/2021,Enrolment Date,
1252,Classic Civil Servant Pension,11/04/1988,31/01/2020,Enrolment Date,
1735,Classic Civil Servant Pension,30/10/1967,31/10/2021,Enrolment Date,
1743,Classic Civil Servant Pension,22/07/1968,31/03/2019,Enrolment Date,
1744,Classic Civil Servant Pension,04/07/1983,31/03/2021,Enrolment Date,
1746,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
1747,Classic Civil Servant Pension,03/11/1975,31/03/2022,Enrolment Date,
1748,Classic Civil Servant Pension,23/05/1983,31/12/2018,Enrolment Date,
1749,Classic Civil Servant Pension,17/03/1975,31/12/2020,Enrolment Date,
1752,Classic Civil Servant Pension,08/02/1971,31/10/2019,Enrolment Date,
1756,Classic Civil Servant Pension,02/06/1986,30/04/2021,Enrolment Date,
1757,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
1758,Classic Civil Servant Pension,08/01/1973,31/01/2020,Enrolment Date,
1,Classic Civil Servant Pension,04/04/1972,31/07/2022,Enrolment Date,
2,Classic Civil Servant Pension,01/10/1984,30/06/2019,Enrolment Date,
3,Classic Civil Servant Pension,28/10/1991,30/09/2021,Enrolment Date,
4,Premium Civil Servant Pension,11/10/1971,31/01/2022,Enrolment Date,
6,Classic Civil Servant Pension,16/10/1972,30/06/2022,Enrolment Date,
7,Classic Civil Servant Pension,01/01/1973,31/12/2021,Enrolment Date,
8,Classic Civil Servant Pension,01/12/1976,30/06/2019,Enrolment Date,
11,Classic Civil Servant Pension,17/09/1973,31/03/2022,Enrolment Date,
13,Classic Civil Servant Pension,06/10/1975,31/05/2019,Enrolment Date,
15,Classic Civil Servant Pension,28/10/1974,31/03/2020,Enrolment Date,
16,Premium Civil Servant Pension,10/03/1975,31/12/2019,Enrolment Date,
18,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
21,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
22,Classic Civil Servant Pension,22/09/1975,30/04/2020,Enrolment Date,
23,Classic Civil Servant Pension,26/09/1988,30/06/2021,Enrolment Date,
24,Alpha Pension Scheme,01/04/2022,31/05/2022,Enrolment Date,
25,Classic Civil Servant Pension,27/10/1975,31/12/2019,Enrolment Date,
26,Classic Civil Servant Pension,11/01/1988,31/07/2019,Enrolment Date,
27,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
28,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
29,Classic Civil Servant Pension,01/03/1976,31/08/2020,Enrolment Date,
